                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63132,                 2.5547,                      0,                0.90988,                 1.0671,                0.99981,                      1,                  0.995,                0.94759,                0.99981,                      1,                  0.995,                0.78956,                0.36873,                0.84937,                      0,                0.36973,                0.85543,             0.00066258,             0.00066258,             0.00066258
                      2,                0.36471,                0.55407,                      0,                0.32376,                0.85078,                0.99962,                      1,                  0.995,                0.92397,                0.99962,                      1,                  0.995,                 0.8892,                0.35494,                0.33738,                      0,                0.35075,                0.83345,              0.0013227,              0.0013227,              0.0013227
                      3,                0.35715,                0.36892,                      0,                0.31896,                0.85257,                0.99964,                      1,                  0.995,                0.94955,                0.99964,                      1,                  0.995,                0.81619,                0.35116,                0.45791,                      0,                0.36986,                0.86123,              0.0019762,              0.0019762,              0.0019762
                      4,                0.34205,                0.26316,                      0,                0.29451,                0.83933,                0.99981,                      1,                  0.995,                0.93268,                0.99981,                      1,                  0.995,                  0.995,                0.38206,                0.13232,                      0,                0.24343,                0.85522,              0.0019703,              0.0019703,              0.0019703
                      5,                0.30462,                0.19836,                      0,                0.26626,                0.83071,                0.99981,                      1,                  0.995,                 0.9754,                0.99981,                      1,                  0.995,                  0.995,                0.28894,                0.06193,                      0,                0.23245,                0.81522,              0.0019604,              0.0019604,              0.0019604
                      6,                0.26923,                0.16709,                      0,                0.23642,                0.82157,                0.99981,                      1,                  0.995,                0.98929,                0.99981,                      1,                  0.995,                  0.995,                0.20912,                0.04489,                      0,                0.19779,                 0.7873,              0.0019505,              0.0019505,              0.0019505
                      7,                0.25892,                0.13162,                      0,                0.22965,                0.81769,                0.99981,                      1,                  0.995,                0.98792,                0.99981,                      1,                  0.995,                  0.995,                0.26088,                0.03871,                      0,                0.21195,                0.80594,              0.0019406,              0.0019406,              0.0019406
                      8,                0.25285,                0.09499,                      0,                0.22447,                 0.8175,                 0.9998,                      1,                  0.995,                  0.986,                 0.9998,                      1,                  0.995,                  0.995,                0.25391,                0.03257,                      0,                0.18284,                0.80168,              0.0019307,              0.0019307,              0.0019307
                      9,                0.23081,                0.09962,                      0,                0.21181,                0.81616,                0.99982,                      1,                  0.995,                0.99419,                0.99982,                      1,                  0.995,                  0.995,                0.17916,                0.03861,                      0,                0.17661,                0.77749,              0.0019208,              0.0019208,              0.0019208
                     10,                 0.2267,                0.09777,                      0,                0.20571,                0.80666,                0.99981,                      1,                  0.995,                0.99386,                0.99981,                      1,                  0.995,                  0.995,                0.18436,                0.01913,                      0,                0.17894,                 0.7767,              0.0019109,              0.0019109,              0.0019109
                     11,                0.21978,                0.08706,                      0,                0.20223,                0.81104,                0.99981,                      1,                  0.995,                  0.995,                0.99981,                      1,                  0.995,                  0.995,                0.17027,                0.02438,                      0,                0.17258,                0.77508,               0.001901,               0.001901,               0.001901
                     12,                0.21095,                0.07891,                      0,                0.19585,                0.80784,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.15877,                0.05346,                      0,                0.16414,                0.77516,              0.0018911,              0.0018911,              0.0018911
                     13,                0.20727,                0.08023,                      0,                0.19313,                0.80764,                0.99981,                      1,                  0.995,                  0.995,                0.99981,                      1,                  0.995,                  0.995,                0.16257,                0.01947,                      0,                0.16717,                0.77425,              0.0018812,              0.0018812,              0.0018812
                     14,                0.20617,                 0.0753,                      0,                0.18881,                0.80439,                0.99981,                      1,                  0.995,                0.99498,                0.99981,                      1,                  0.995,                  0.995,                 0.2043,                0.02447,                      0,                0.18851,                0.78203,              0.0018713,              0.0018713,              0.0018713
                     15,                0.20102,                0.06346,                      0,                0.18671,                0.80516,                0.99982,                      1,                  0.995,                0.99376,                0.99982,                      1,                  0.995,                  0.995,                0.19467,                0.02405,                      0,                0.18511,                0.77959,              0.0018614,              0.0018614,              0.0018614
                     16,                0.19491,                0.06454,                      0,                0.18137,                0.80228,                0.99981,                      1,                  0.995,                0.99418,                0.99981,                      1,                  0.995,                  0.995,                0.17263,                0.01878,                      0,                0.16975,                 0.7791,              0.0018515,              0.0018515,              0.0018515
                     17,                0.18708,                0.05296,                      0,                0.17348,                0.79997,                0.99981,                      1,                  0.995,                  0.995,                0.99981,                      1,                  0.995,                  0.995,                0.16668,                0.05237,                      0,                0.15079,                0.77265,              0.0018416,              0.0018416,              0.0018416
                     18,                0.18479,                0.05896,                      0,                0.17512,                 0.8035,                0.99981,                      1,                  0.995,                0.99486,                0.99981,                      1,                  0.995,                  0.995,                0.17359,                 0.0272,                      0,                0.16226,                 0.7807,              0.0018317,              0.0018317,              0.0018317
                     19,                0.18368,                0.05582,                      0,                0.17079,                0.80383,                0.99977,                      1,                  0.995,                  0.995,                0.99977,                      1,                  0.995,                  0.995,                0.14643,                0.01818,                      0,                0.14205,                0.77162,              0.0018218,              0.0018218,              0.0018218
                     20,                0.17904,                0.11304,                      0,                0.16718,                0.80698,                0.99981,                      1,                  0.995,                  0.995,                0.99981,                      1,                  0.995,                  0.995,                0.12786,                0.01252,                      0,                0.13175,                0.76668,              0.0018119,              0.0018119,              0.0018119
                     21,                0.19527,                0.08084,                      0,                0.17929,                0.80323,                0.99932,                      1,                  0.995,                0.99446,                0.99932,                      1,                  0.995,                  0.995,                0.18404,                0.03069,                      0,                0.22091,                0.77458,               0.001802,               0.001802,               0.001802
                     22,                0.19288,                0.06949,                      0,                 0.1752,                0.80323,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                 0.1562,                0.01691,                      0,                0.13189,                0.77362,              0.0017921,              0.0017921,              0.0017921
                     23,                0.17306,                0.05385,                      0,                0.16294,                0.79874,                0.99978,                      1,                  0.995,                  0.995,                0.99978,                      1,                  0.995,                  0.995,                0.16102,                0.01995,                      0,                0.14364,                0.77266,              0.0017822,              0.0017822,              0.0017822
                     24,                0.16883,                0.04511,                      0,                0.16028,                0.80204,                0.99981,                      1,                  0.995,                  0.995,                0.99981,                      1,                  0.995,                  0.995,                0.13274,                0.01943,                      0,                0.12849,                0.76873,              0.0017723,              0.0017723,              0.0017723
                     25,                0.16902,                0.04019,                      0,                0.15848,                0.79652,                0.99981,                      1,                  0.995,                  0.995,                0.99981,                      1,                  0.995,                  0.995,                0.14126,                0.01861,                      0,                0.13289,                0.76614,              0.0017624,              0.0017624,              0.0017624
                     26,                0.16841,                0.04725,                      0,                0.15957,                0.79604,                0.99981,                      1,                  0.995,                  0.995,                0.99981,                      1,                  0.995,                  0.995,                0.14968,                0.01887,                      0,                 0.1366,                0.77086,              0.0017525,              0.0017525,              0.0017525
